subject,q_type,n,marks
Hindustani Music,two-statement,4,10
Hindustani Music,matching,1,
Hindustani Music Melodic,subjective,8,28
Hindustani Music Melodic,mcq,3,3
Hindustani Music Melodic,two-statement,2,2
Hindustani Music Melodic,figure-only,1,
Hindustani Music Melodic Insmts,subjective,6,24
Hindustani Music Melodic Insmts,mcq,4,5
Hindustani Music Melodic Insmts,two-statement,2,2
Hindustani Music Per Ins,subjective,5,18
Hindustani Music Per Ins,mcq,3,3
Hindustani Music Per Ins,two-statement,2,2
Hindustani Music Percussion Inst,subjective,5,28
Hindustani Music Percussion Inst,mcq,3,12
Hindustani Music Percussion Inst,two-statement,2,11
Hindustani Music Percussion Instruments,figure-only,1,
Hindustani Music Percussion Instruments,subjective,1,6
History,mcq,751,372
History,subjective,409,2103
History,source-based,151,594
History,matching,66,41
History,assertion-reason,66,15
History,ordering,51,28
History,map,45,114
History,figure-only,30,
Home Science,subjective,55,155
Home Science,mcq,36,35
Home Science,assertion-reason,7,8
Home Science,figure-only,4,
Home Science,matching,3,3
Home Science,source-based,2,2
Home Scince,subjective,2,6
Home Scince,figure-only,1,
Horticulture,subjective,21,6
Horticulture,figure-only,6,
Horticulture,source-based,1,
Horticulture,mcq,1,
Informatic Practices,subjective,11,42
Informatics Practices,subjective,50,146
Informatics Practices,mcq,14,17
Informatics Practices,figure-only,12,
Informatics Practices,assertion-reason,6,6
Information Practices,mcq,15,27
Information Practices,subjective,12,65
Information Practices,assertion-reason,2,2
Information Technology,subjective,50,150
Information Technology,mcq,3,8
Information Technology,figure-only,2,
Insurance,subjective,49,116
Insurance,figure-only,10,
Insurance,mcq,2,4
Japanese,subjective,10,12
Japanese,matching,1,
Kannada,subjective,1,
Kannada,mcq,1,12
Kathak Dance,mcq,22,30
Kathak Dance,subjective,18,83
Kathak Dance,figure-only,1,
Kathakali Dance,mcq,7,7
Kathakali Dance,subjective,4,20
Knowledge Tradubg,subjective,15,50
Knowledge Tradubg,assertion-reason,8,11
Knowledge Tradubg,mcq,2,3
Knowledge Tradubg,source-based,1,1
Kuchipudii Dance,subjective,6,24
Kuchipudii Dance,mcq,4,5
Legal Studies,subjective,84,241
Legal Studies,mcq,51,105
Legal Studies,figure-only,13,
Legal Studies,assertion-reason,8,19
Legal Studies,two-statement,3,3
Library Info Science,subjective,9,27
Library Info Science,figure-only,3,
Library Info Science,mcq,1,1
Libraryinformation Science New,figure-only,6,
Libraryinformation Science New,subjective,2,
Limboo,subjective,2,
Manipuri Dance,figure-only,6,
Manipuri Dance,subjective,5,22
Manipuri Dance,mcq,2,2
Marketing,subjective,47,55
Marketing,figure-only,10,
Marketing,mcq,3,12
Mass Media Studies,subjective,38,54
Mass Media Studies,mcq,3,8
Mass Media)Studies(New),subjective,3,
Mass Media)Studies(New),figure-only,3,
Mathematics,subjective,460,813
Mathematics,mcq,325,463
Mathematics,figure-only,193,
Mathematics,assertion-reason,94,119
Medical Diagnostics,subjective,7,20
Medical Diagnostics,figure-only,3,
Mizo,subjective,3,5
Mizo,figure-only,1,
Multimedia,subjective,13,18
Multimedia,figure-only,7,
Multimedia,mcq,1,12
Music Hindustani Vocal Theory,subjective,12,12
Music Hindustani Vocal Theory,mcq,10,20
Music Hindustani Vocal Theory,two-statement,4,10
Music Hindustani Vocal Theory,matching,1,
National Cadet Corps Ncc,subjective,11,44
National Cadet Corps Ncc,source-based,1,10
National Cadet Corps Ncc,assertion-reason,1,4
Ncc,subjective,14,39
Ncc,figure-only,3,
Ncc,mcq,1,2
Ncc,assertion-reason,1,5
Nepali,figure-only,4,
Odia,figure-only,3,
Odissi Dance,mcq,6,6
Odissi Dance,subjective,4,8
Odissi Dance,figure-only,1,
Office Procedures Practices,subjective,18,7
Office Procedures Practices,figure-only,11,
Office Procedures Practices,mcq,1,
Painting,subjective,38,139
Painting,mcq,6,7
Painting,assertion-reason,5,24
Persian,subjective,7,26
Persian,source-based,1,
Physical Activity Trainer,subjective,14,30
Physical Activity Trainer,mcq,1,1
Physical Education,mcq,45,88
Physical Education,subjective,39,112
Physical Education,assertion-reason,6,17
Physical Education,figure-only,2,
Physical Education,matching,1,1
Physics,subjective,554,1747
Physics,mcq,407,366
Physics,assertion-reason,193,265
Physics,figure-only,112,
Political Science,subjective,483,1376
Political Science,mcq,274,288
Political Science,assertion-reason,65,32
Political Science,figure-only,58,
Political Science,source-based,49,105
Political Science,map,33,62
Political Science,two-statement,16,27
Political Science,matching,8,15
Political Science,ordering,3,
Psychology,subjective,54,162
Psychology,mcq,36,60
Psychology,figure-only,12,
Psychology,source-based,11,42
Psychology,assertion-reason,5,5
Psychology,ordering,2,2
Punjabi,figure-only,16,
Retail,subjective,40,67
Retail,figure-only,4,
Retail,mcq,3,8
Russian,subjective,6,
Russian,source-based,1,
Salesmanship,subjective,37,90
Salesmanship,mcq,2,5
Salesmanship,figure-only,2,
Salesmanship,ordering,1,4
Sanskrit Core,subjective,33,56
Sanskrit Core,figure-only,6,
Sanskrit Core,source-based,4,3
Sanskrit Elective,subjective,30,127
Sanskrit Elective,mcq,8,38
Sanskrit Elective,figure-only,7,
Sanskrit Elective,source-based,6,28
Sculpture,subjective,23,77
Sculpture,mcq,5,6
Sculpture,assertion-reason,4,14
Shorthand,subjective,28,48
Shorthand,mcq,3,4
Shorthand English,subjective,71,36
Shorthand English,figure-only,7,
Shorthand English,mcq,2,
Shorthand Hindi,figure-only,1,
Sociology,subjective,64,198
Sociology,mcq,31,
Sociology,assertion-reason,18,2
Sociology,figure-only,6,
Sociology,source-based,6,16
Tamil,figure-only,7,
Tamil,mcq,1,12
Tangkhul,figure-only,7,
Tangkhul-Qp,figure-only,1,
Taxation,subjective,27,10
Taxation,figure-only,7,
Taxation,mcq,1,
Telugu,subjective,4,
Textile Design,subjective,50,111
Textile Design,figure-only,9,
Textile Design,mcq,2,5
Tourism,subjective,43,88
Tourism,figure-only,7,
Tourism,mcq,3,8
Typography & Computer Applications,subjective,41,55
Typography & Computer Applications,figure-only,9,
Typography & Computer Applications,mcq,3,8
Typography Computer Applications,subjective,2,
Web Applications,subjective,108,119
Web Applications,mcq,4,12
Web Applications,figure-only,1,
Yoga,subjective,34,40
Yoga,mcq,2,10
